time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
2229,0,1.135534,1.488389,2.992574,0.06001053,0,0.8841232,1.416747,2.739194,0.01743563,0.05940683
2243,0,1.13647,1.488138,2.993458,0.09327923,0,0.8841133,1.416564,2.739294,0.01483273,1.663435
2257,0,1.137568,1.487919,2.99437,0.1041624,0,0.8841059,1.416524,2.739316,0.00332885,0.5441591
2270,0,1.139008,1.487691,2.99531,0.1264919,0,0.8840652,1.416548,2.739309,0.00348326,1.116475
2284,0,1.140411,1.487476,2.996095,0.1160455,0,0.8840266,1.416571,2.739298,0.003316087,-0.5223185
2299,0,1.141469,1.48728,2.996737,0.08770267,0,0.8840014,1.41663,2.739256,0.005386001,-1.417144
2313,0,1.142247,1.486989,2.997335,0.07417268,0,0.884002,1.416735,2.739196,0.008730453,-0.6764997
2326,0,1.142592,1.486607,2.997778,0.04948106,0,0.8840359,1.416962,2.739084,0.01861958,-1.234581
2340,0,1.143026,1.486246,2.998334,0.05693581,0,0.8840519,1.417112,2.739019,0.01183707,0.3727376
2354,0,1.143679,1.485888,2.998982,0.07195132,0,0.8840529,1.417248,2.738966,0.0106063,0.7507756
2368,0,1.144526,1.485451,2.999611,0.08202051,0,0.8840367,1.417317,2.738933,0.005597204,0.5034596
2381,0,1.145407,1.485111,3.000136,0.07731511,0,0.8840294,1.417351,2.738913,0.002872261,-0.23527
2396,0,1.146164,1.485104,3.000469,0.05952837,0,0.8840314,1.417389,2.73889,0.003190047,-0.8893371
2409,0,1.146672,1.485559,3.000503,0.04947455,0,0.8840441,1.417376,2.738889,0.00128088,-0.502691
2451,0,1.146699,1.486298,3.000175,0.05819223,0,0.8840644,1.417126,2.738993,0.01958823,0.4358838
2467,0,1.147357,1.48655,3.000343,0.04507629,0,0.8840554,1.417053,2.739013,0.004751161,-0.6557968
2480,0,1.148213,1.486968,3.000527,0.0752477,0,0.8840398,1.417016,2.739022,0.00312203,1.508571
2493,0,1.148906,1.487404,3.000613,0.06303908,0,0.884029,1.416972,2.739031,0.003542155,-0.6104313
2507,0,1.149282,1.487609,3.000668,0.03080058,0,0.884027,1.416942,2.739052,0.002669006,-1.611925
2520,0,1.149481,1.487712,3.000721,0.01746098,0,0.8840242,1.416922,2.739071,0.002057781,-0.6669803
2535,0,1.149602,1.48776,3.000768,0.009810706,0,0.8840193,1.416885,2.739104,0.003506962,-0.3825136
2549,0,1.149842,1.488124,3.000848,0.03111856,0,0.8840084,1.416843,2.739146,0.004246995,1.065393
2563,0,1.150043,1.488699,3.000869,0.04316958,0,0.8839952,1.416811,2.739181,0.003500411,0.602551
2576,0,1.150244,1.488842,3.000853,0.01808309,0,0.883984,1.416803,2.739191,0.001243291,-1.254325
2590,0,1.150463,1.488881,3.000853,0.01597667,0,0.8839591,1.416819,2.739196,0.002141207,-0.1053206
2604,0,1.150641,1.489114,3.000826,0.021575,0,0.8839195,1.416837,2.739202,0.003217717,0.2799165
2618,0,1.15067,1.489194,3.000777,0.007098899,0,0.8839018,1.416841,2.739208,0.001377776,-0.7238052
2632,0,1.150705,1.489171,3.000739,0.003987788,0,0.8838845,1.416855,2.739212,0.001587196,-0.1555555
2646,0,1.150869,1.489281,3.000582,0.01802962,0,0.8838699,1.416881,2.739209,0.002156281,0.7020919
2660,0,1.151095,1.489527,3.000232,0.03527434,0,0.883864,1.416906,2.739199,0.001967533,0.8622357
2674,0,1.151412,1.489821,2.999729,0.0468884,0,0.8838544,1.416939,2.739187,0.002634498,0.5807031
2688,0,1.151691,1.489937,2.99909,0.05104712,0,0.8838404,1.416963,2.73918,0.002008026,0.207936
2701,0,1.151798,1.489782,2.998743,0.02872596,0,0.8838242,1.416975,2.739185,0.001536512,-1.116058
2716,0,1.151884,1.489645,2.998341,0.03081983,0,0.8838061,1.416964,2.739201,0.001916866,0.1046934
2730,0,1.152151,1.489471,2.997291,0.0780329,0,0.8837917,1.416939,2.739219,0.002406683,2.360653
2744,0,1.152399,1.489311,2.996385,0.06792175,0,0.8837792,1.416906,2.739235,0.002792044,-0.5055573
2757,0,1.153163,1.489183,2.994228,0.16423,0,0.8837726,1.416866,2.739245,0.002951518,4.815415
2771,0,1.153922,1.489644,2.991642,0.1974646,0,0.8837786,1.416829,2.739247,0.002688969,1.661728
2785,0,1.153594,1.490666,2.990363,0.1222361,0,0.8837801,1.416809,2.739252,0.001571005,-3.761426
2799,0,1.153477,1.49183,2.988977,0.130367,0,0.8837882,1.416794,2.739259,0.001330275,0.4065454
2813,0,1.153666,1.493182,2.987794,0.1252548,0,0.8838108,1.416785,2.739266,0.001735318,-0.2556078
2828,0,1.154313,1.495022,2.986788,0.157441,0,0.8838353,1.416795,2.739271,0.001923854,1.609311
2841,0,1.154551,1.497372,2.985825,0.1852081,0,0.8838684,1.41681,2.739275,0.0026436,1.388355
2855,0,1.154673,1.500108,2.98515,0.2041298,0,0.883894,1.416811,2.739283,0.001931875,0.9460829
2869,0,1.154371,1.502825,2.984509,0.2048332,0,0.8839056,1.416793,2.739299,0.001971019,0.03516898
2883,0,1.153717,1.506173,2.984149,0.2425043,0,0.8839296,1.416739,2.739332,0.004768202,1.883557
